sentence,language,rarity
The cat stretched.,en,False
Jacob stood on his tiptoes.,en,True
The car turned the corner.,en,False
Kelly twirled in circles.,en,True
She opened the door.,en,False
Aaron made a picture.,en,False
I'm sorry.,en,False
I danced.,en,True
Run!,en,False
Open the jar carefully.,en,False
Read the directions.,en,False
Don't cry.,en,False
Use common sense.,en,False
Make the best of things.,en,False
Catch up!,en,False
Sarah and Ira drove to the store.,en,True
Jenny and I opened all the gifts.,en,False
The cat and dog ate.,en,False
My parents and I went to a movie.,en,False
Mrs. Juarez and Mr. Smith are dancing gracefully.,en,True
"Samantha, Elizabeth, and Joan are on the committee.",en,True
"The ham, green beans, mashed potatoes, and corn are gluten-free.",en,True
The paper and pencil sat idle on the desk.,en,True
Misha walked and looked around.,en,True
My mother hemmed and hawed over where to go for dinner.,en,True
He was eating and talking.,en,False
I rinsed and dried the dishes.,en,True
Joe stood up and spoke to the crowd.,en,False
"The mangy, scrawny stray dog hurriedly gobbled down the grain-free, organic dog food.",en,True
"I quickly put on my red winter jacket, black snow pants, waterproof boots, homemade mittens, and handknit scarf.",en,True
The incessant ticking and chiming echoed off the weathered walls of the clock repair shop.,en,True
"Nervously, I unfolded the wrinkled and stained letter from my long-dead ancestor.",en,True
"Into the suitcase, I carelessly threw a pair of ripped jeans, my favorite sweater from high school, an old pair of tube socks with stripes, and $20,000 in cash.",en,True
I‘m happy.,en,False
She exercises every morning.,en,False
His dog barks loudly.,en,True
My school starts at 8:00.,en,False
We always eat dinner together.,en,False
They take the bus to work.,en,False
He doesn’t like vegetables.,en,False
I don’t want anything to drink.,en,False
This little black dress isn’t expensive.,en,False
Those kids don’t speak English.,en,False
I went to the store.,en,False
She took the test last Friday.,en,False
We talked for hours.,en,False
The little girl played at the playground.,en,True
He had a great time yesterday.,en,False
I didn’t know about the meeting.,en,False
He didn’t take a shower.,en,False
My friend and I didn’t buy anything on our trip.,en,False
We didn’t have enough food for everyone.,en,False
Rachel didn’t tell anyone the secret.,en,False
I will visit my parents next weekend.,en,False
She‘ll finish her project by tomorrow.,en,False
They will go on vacation next month.,en,False
We‘ll have dinner at a fancy restaurant tonight.,en,False
He will start his new job next week.,en,False
I won’t attend the party tomorrow.,en,False
She won’t buy a new car this year.,en,False
They will not complete the assignment on time.,en,False
We won’t go to the concert on Saturday.,en,False
He will not pass the exam without studying.,en,False
I am currently working on a new project.,en,False
She is dancing gracefully on stage.,en,True
They are enjoying their vacation in Hawaii.,en,False
We are learning to play the guitar.,en,False
He is studying for his upcoming exams.,en,False
I‘m not feeling well today.,en,False
She isn’t attending the party tonight.,en,False
They‘re not participating in the competition.,en,False
We aren’t going out for dinner this evening.,en,False
He‘s not wearing a jacket despite the cold weather.,en,False
I was watching a movie last night.,en,False
She was singing loudly during the concert.,en,True
They were playing soccer yesterday.,en,False
We were having dinner at a fancy restaurant.,en,False
He was studying hard for his final exams.,en,False
I wasn’t paying attention to the lecture.,en,False
She was not watching her kids at the park.,en,False
They were not listening to the teacher’s instructions.,en,True
We weren’t traveling over spring break.,en,False
He was not feeling well yesterday.,en,False
I‘ll be giving a presentation at the conference.,en,False
She will be traveling to Europe next month.,en,False
They‘ll be celebrating their anniversary on a cruise.,en,False
We will be taking our son to college in September.,en,False
He‘ll be working on a new project next week.,en,False
I will not be attending the party tonight.,en,False
She will not be participating in the competition.,en,False
They won’t be going on a vacation this summer.,en,False
We won’t be looking for new jobs anytime soon.,en,False
He won’t be taking so many classes next semester.,en,False
I‘ve finished reading the book.,en,False
She has traveled to many countries.,en,False
They‘ve won the championship.,en,False
We have completed the project on time.,en,False
He‘s learned to play the piano.,en,False
I haven’t visited that museum yet.,en,False
She has not received the package.,en,False
"I like to read, and my sister enjoys painting.",en,False
"He plays soccer, but she prefers swimming.",en,True
"They study hard, so they get good grades.",en,False
"We work during the day, and we relax in the evening.",en,False
"She loves her job, yet she complains about it a lot.",en,True
"He cooks a lot, and he often tries new recipes.",en,True
"They travel to different countries, but they always come back home.",en,False
"We either watch movies on Fridays, or we go out for dinner.",en,True
"She exercises regularly, so she stays fit and healthy.",en,False
"He volunteers at the local shelter, and he also donates to charity.",en,True
"I visited my grandparents last weekend, and we had a wonderful time together.",en,False
"He played basketball in high school, but he decided to focus on academics in college.",en,True
"They went to the beach yesterday, but it rained unexpectedly.",en,True
"We studied for the exam, yet we still struggled with some of the questions.",en,False
"She cooked a delicious meal for her friends, and they all enjoyed it.",en,False
"He worked as a teacher for several years, and then he pursued a career in writing.",en,False
"They traveled to Europe during the summer holidays, and they visited many famous landmarks.",en,True
"We watched a movie last night, but we didn't like it.",en,False
"She danced ballet when she was younger, but she stopped after a knee injury.",en,True
"He met his favorite author at a book signing event, and he got his book autographed.",en,True
"I am studying for my exam, and my friend is working on a project.",en,False
"She is dancing in the ballet recital, and her brother is playing the piano.",en,True
"They are traveling to Europe this summer, but they aren't taking their kids.",en,False
"We are having dinner at a restaurant tonight, so we are dressing up.",en,False
"He is working on a new painting, and he is experimenting with different techniques.",en,True
"She isn't planning to buy a house, yet she is always browsing real estate listings.",en,True
"My parents are attending a conference, and I am taking care of their dogs.",en,False
We aren't enjoying the trip because we're worrying about safety all the time.,en,False
"She is taking swimming lessons, and she is improving her technique.",en,False
"He is studying English on his own, so he isn't taking any formal classes.",en,False
"I have studied for my exam, and I feel confident about it.",en,False
"She has traveled to many countries, so she has experienced diverse cultures.",en,False
"They have finished their project, but they still need to present it.",en,False
"We have watched the movie, and we have discussed it extensively.",en,True
"He has learned to play the guitar, and he will perform his favorite songs at the talent show.",en,False
"She has completed her master's degree, and she is now pursuing a Ph.D.",en,True
"They have visited the museum, but they have not explored the entire collection yet.",en,False
"We have tried the new restaurant in town, and the food was delicious.",en,False
"She has written a book, and she has received positive reviews from readers.",en,False
"He has achieved his fitness goals, and he continues to maintain a healthy lifestyle.",en,False
"I finished my work early, so now I can relax for the rest of the evening.",en,False
"She sings beautifully, yet she has never performed for an audience.",en,False
"They were buying groceries for the week, but they had forgotten to bring their shopping list.",en,True
"We have been studying history, and we will visit a museum tomorrow.",en,False
"He played the guitar for years, but he is now focusing on learning the piano.",en,False
"She will be giving a talk next month, so she has been practicing a lot.",en,False
"They enjoyed the concert last night, and they will be posting photos later.",en,False
"I had watched that movie before, so we picked a different one to watch together.",en,False
"She is working at a bar, but her parents disapprove.",en,True
"He had been considering buying a motorcycle, but he couldn't afford it.",en,False
"She did not cheat on the test, for it was the wrong thing to do.",en,False
"I really need to go to work, but I am too sick to drive.",en,False
"I am counting my calories, yet I really want dessert.",en,True
"He ran out of money, so he had to stop playing poker.",en,False
"They got there early, and they got really good seats.",en,False
"They had no ice cream left at home, nor did they have money to go to the store.",en,False
"Everyone was busy, so I went to the movie alone.",en,False
"I thought the promotion was mine, but my attendance wasn't good enough.",en,False
"Should we start class now, or wait for everyone to get here?",en,False
"It was getting dark, and we weren't near the cabin yet.",en,False
"Cats are good pets, for they are clean and are not noisy.",en,True
"We have never been to Asia, nor have we visited Africa.",en,False
"He didn't want to go to the dentist, yet he went anyway.",en,True
The sky is clear; the stars are twinkling.,en,True
Joe made the sugar cookies; Susan decorated them.,en,False
The waves were crashing on the shore; it was a lovely sight.,en,True
Check back tomorrow; I will see if the book has arrived.,en,False
I am happy to take your donation; any amount will be greatly appreciated.,en,False
Malls are great places to shop; I can find everything I need under one roof.,en,True
Italy is my favorite country; I plan to spend two weeks there next year.,en,False
He turned in the research paper on Friday; he would have not passed the class otherwise.,en,False
She bought a cheeseburger for her friend; she forgot the fries.,en,True
He loved the dog; he gave it many treats.,en,False
"It was a difficult assignment; however, Kelly was up to the challenge.",en,False
"There were white-out conditions in the town; therefore, the roads were impassable.",en,True
"He said he was not there yesterday; however, many people saw him there.",en,False
"She only paints with bold colors; indeed, she does not like pastels at all.",en,True
"She works two jobs to make ends meet; at least, that was her reason for not having time to join us.",en,False
"You need to pack the appropriate things for camping; for example, a sleeping bag will keep you warm.",en,False
"I have paid my dues; as a result, I expect to receive all the privileges listed in the bylaws.",en,True
"He ate seven sandwiches for lunch; afterward, he felt ill.",en,True
"Her knees ached from jogging; moreover, her shoes were starting to wear out.",en,True
"His friends canceled dinner plans that night; on the other hand, he didn’t really want to go in the first place.",en,False
"I like doing the Christmas tree, and I would love for you to join.",en,False
"Are you coming with me, or are you going to the auditorium?",en,True
"He was not well, yet he decided to go to work.",en,False
