Sentence,Type,Source
The cat stretched.,Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
Jacob stood on his tiptoes.,Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
The car turned the corner.,Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
Kelly twirled in circles.,Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
She opened the door.,Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
Aaron made a picture.,Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
I'm sorry.,Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
I danced.,Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
Run!,Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
Open the jar carefully.,Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
Read the directions.,Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
Don't cry.,Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
Use common sense.,Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
Make the best of things.,Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
Catch up!,Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
Sarah and Ira drove to the store.,Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
Jenny and I opened all the gifts.,Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
The cat and dog ate.,Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
My parents and I went to a movie.,Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
Mrs. Juarez and Mr. Smith are dancing gracefully.,Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
"Samantha, Elizabeth, and Joan are on the committee.",Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
"The ham, green beans, mashed potatoes, and corn are gluten-free.",Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
The paper and pencil sat idle on the desk.,Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
Misha walked and looked around.,Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
My mother hemmed and hawed over where to go for dinner.,Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
He was eating and talking.,Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
I rinsed and dried the dishes.,Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
Joe stood up and spoke to the crowd.,Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
"The mangy, scrawny stray dog hurriedly gobbled down the grain-free, organic dog food.",Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
"I quickly put on my red winter jacket, black snow pants, waterproof boots, homemade mittens, and handknit scarf.",Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
The incessant ticking and chiming echoed off the weathered walls of the clock repair shop.,Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
"Nervously, I unfolded the wrinkled and stained letter from my long-dead ancestor.",Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
"Into the suitcase, I carelessly threw a pair of ripped jeans, my favorite sweater from high school, an old pair of tube socks with stripes, and $20,000 in cash.",Simple,https://www.yourdictionary.com/articles/examples-simple-sentences
I‘m happy.,Simple,https://www.espressoenglish.net/simple-sentences-in-english-50-examples/
She exercises every morning.,Simple,https://www.espressoenglish.net/simple-sentences-in-english-50-examples/
